numeroCfrNavire;Navire;dateDebutValidite;dateFinValidite
FRA000925078;ROSE DES CHAMPS II;01/01/2022;31/12/2022
FRA000878935;SAINT PATRICK;01/01/2022;31/12/2022
FRA000607610;SERPICO II;01/01/2022;31/12/2022
FRA000922565;SI ON CHANTAIT;01/01/2022;31/12/2022
FRA000711421;SPARTIATE;01/01/2022;31/12/2022
FRA000922497;SRI LANKA;01/01/2022;31/12/2022
FRA000922363;STESSARY;01/01/2022;31/12/2022
FRA000922401;IRIS IV;01/01/2022;31/12/2022
FRA000907974;LA CHUCHEROLLE;01/01/2022;31/12/2022
FRA000907893;OURAGAN;01/01/2022;31/12/2022
FRA000735890;LYSANDRE;01/01/2022;31/12/2022
FRA000922428;CHEZ - WAM;01/01/2022;31/12/2022
FRA000735422;ANTHINEAS;01/01/2022;31/12/2022
FRA000722240;CARPE DIEM 2;01/01/2022;31/12/2022
FRA000925064;C'EST L'AMERIQUE II;01/01/2022;31/12/2022
FRA000681985;GERLEAN;01/01/2022;31/12/2022
FRA000925093;KLABOUTER II;01/01/2022;31/12/2022
FRA000753056;MA BONNE ETOILE;01/01/2022;31/12/2022
FRA000922417;QUO VADIS II;01/01/2022;31/12/2022
FRA000922402;TORR PENN;01/01/2022;31/12/2022
FRA000934464;TERRE ET MER;01/01/2022;31/12/2022
